author_name,author_id,paper_title,cited_paper,google_scholar_link
"GL Read, S Holiday, JL Hayes, BC Britt",QeLQ0bIAAAAJ,Biometric tools in a computational advertising context: An overview of use and application,Understanding consumers’ visual attention in mobile advertisements: An ambulatory eye-tracking study with machine learning techniques,https://scholar.google.com/citations?user=QeLQ0bIAAAAJ&hl=en
"GL Read, S Holiday, JL Hayes, BC Britt",wZbeCq0AAAAJ,Biometric tools in a computational advertising context: An overview of use and application,Understanding consumers’ visual attention in mobile advertisements: An ambulatory eye-tracking study with machine learning techniques,https://scholar.google.com/citations?user=wZbeCq0AAAAJ&hl=en
"GL Read, S Holiday, JL Hayes, BC Britt",mT-MOpsAAAAJ,Biometric tools in a computational advertising context: An overview of use and application,Understanding consumers’ visual attention in mobile advertisements: An ambulatory eye-tracking study with machine learning techniques,https://scholar.google.com/citations?user=mT-MOpsAAAAJ&hl=en
"GL Read, S Holiday, JL Hayes, BC Britt",usilIkEAAAAJ,Biometric tools in a computational advertising context: An overview of use and application,Understanding consumers’ visual attention in mobile advertisements: An ambulatory eye-tracking study with machine learning techniques,https://scholar.google.com/citations?user=usilIkEAAAAJ&hl=en
"CM Segijn, P Menheer, G Lee, E Kim…",Snt5NVcAAAAJ,"Automated object detection in mobile eye-tracking research: comparing manual coding with tag detection, shape detection, matching, and machine learning",Understanding consumers’ visual attention in mobile advertisements: An ambulatory eye-tracking study with machine learning techniques,https://scholar.google.com/citations?user=Snt5NVcAAAAJ&hl=en
"CM Segijn, P Menheer, G Lee, E Kim…",mquQJrkAAAAJ,"Automated object detection in mobile eye-tracking research: comparing manual coding with tag detection, shape detection, matching, and machine learning",Understanding consumers’ visual attention in mobile advertisements: An ambulatory eye-tracking study with machine learning techniques,https://scholar.google.com/citations?user=mquQJrkAAAAJ&hl=en
"CM Segijn, P Menheer, G Lee, E Kim…",KjZhTeYAAAAJ,"Automated object detection in mobile eye-tracking research: comparing manual coding with tag detection, shape detection, matching, and machine learning",Understanding consumers’ visual attention in mobile advertisements: An ambulatory eye-tracking study with machine learning techniques,https://scholar.google.com/citations?user=KjZhTeYAAAAJ&hl=en
"CB Maddodi, P Upadhyaya",y2bwlVsAAAAJ,Are animated in-app banner ads intrusive? Examining the interplay of structural and semantic ad factors,Understanding consumers’ visual attention in mobile advertisements: An ambulatory eye-tracking study with machine learning techniques,https://scholar.google.com/citations?user=y2bwlVsAAAAJ&hl=en
"S Lim, HJ Cho, M Jeon, X Cui, R Schmaelzle",AGjKhRsAAAAJ,Using VR and eye-tracking to study attention to and retention of AI-generated ads in outdoor advertising environments,Understanding consumers’ visual attention in mobile advertisements: An ambulatory eye-tracking study with machine learning techniques,https://scholar.google.com/citations?user=AGjKhRsAAAAJ&hl=en
"S Lim, HJ Cho, M Jeon, X Cui, R Schmaelzle",3VOu6oIAAAAJ,Using VR and eye-tracking to study attention to and retention of AI-generated ads in outdoor advertising environments,Understanding consumers’ visual attention in mobile advertisements: An ambulatory eye-tracking study with machine learning techniques,https://scholar.google.com/citations?user=3VOu6oIAAAAJ&hl=en
