rank,university_name,country
1,Tsinghua University,China
2,Peking University,China
3,Zhejiang University,China
4,Shanghai Jiao Tong University,China
5,Fudan University,China
6,Nanjing University,China
7,University of Science and Technology of China,China
8,Wuhan University,China
9,Huazhong University of Science and Technology,China
10,Xi'an Jiaotong University,China
11,Beihang University,China
12,Sun Yat-sen University,China
13,Beijing Institute of Technology,China
14,Harbin Institute of Technology,China
15,Sichuan University,China
16,Southeast University,China
17,Renmin University of China,China
18,Tongji University,China
19,Beijing Normal University,China
20,Tianjin University,China
21,Northwestern Polytechnical University,China
22,Shandong University,China
23,Nankai University,China
24,Xiamen University,China
25,China Agricultural University,China
26,Jilin University,China
27,Central South University,China
28,Dalian University of Technology,China
29,Hunan University,China
30,East China Normal University,China
31,South China University of Technology,China
32,Southern University of Science and Technology,China
33,University of Electronic Science and Technology of China,China
34,Chongqing University,China
35,University of Science and Technology Beijing,China
36,Nanjing University of Aeronautics and Astronautics,China
37,Northeastern University,China
38,Nanjing University of Science and Technology,China
39,Lanzhou University,China
40,Xidian University,China
41,ShanghaiTech University,China
42,Beijing Jiaotong University,China
43,Harbin Engineering University,China
44,East China University of Science and Technology,China
45,Northeast Normal University,China
46,Soochow University,China
47,Huazhong Agricultural University,China
48,Wuhan University of Technology,China
48,"China University of Petroleum, Beijing",China
50,Zhengzhou University,China
51,Jiangnan University,China
52,Southwest Jiaotong University,China
53,Nanjing Agricultural University,China
54,China University of Geosciences,China
55,Jinan University,China
56,Central China Normal University,China
56,Ocean University of China,China
58,Nanjing Normal University,China
59,China University of Mining and Technology,China
60,Beijing University of Posts and Telecommunications,China
61,Shanghai University,China
62,Zhejiang University of Technology,China
63,Beijing University of Chemical Technology,China
64,Hohai University,China
65,Shaanxi Normal University,China
66,Southwest University,China
67,China University of Petroleum (East China),China
68,Shenzhen University,China
69,Yunnan University,China
70,Northwest University,China
71,Northwest A&F University,China
72,Beijing University of Technology,China
73,Nanchang University,China
74,Donghua University,China
75,China University of Geosciences Beijing,China
76,China University of Mining & Technology-Beijing,China
77,Fuzhou University,China
78,Ningbo University,China
79,Hefei University of Technology,China
80,South China Normal University,China
81,Nanjing University of Posts and Telecommunications,China
82,Jiangsu University,China
83,North China Electric Power University,China
84,Chang'an University,China
85,Beijing Forestry University,China
86,Guizhou University,China
87,Fujian Normal University,China
88,Hunan Normal University,China
89,Guangxi University,China
90,Nanjing Forestry University,China
91,Yangzhou University,China
92,Zhejiang Normal University,China
93,Hainan University,China
94,Nanjing Tech University,China
95,Nanjing University of Information Science & Technology,China
96,Guangdong University of Technology,China
97,Hangzhou Dianzi University,China
98,Anhui University,China
99,Capital Normal University,China
100,South China Agricultural University,China
101,Shanxi University,China
102,Henan University,China
103,Taiyuan University of Technology,China
104,Shandong Normal University,China
105,Guangzhou University,China
106,Zhejiang Sci-Tech University,China
107,Xiangtan University,China
108,University of Shanghai for Science and Technology,China
109,Hebei University of Technology,China
110,Dalian Maritime University,China
111,Qingdao University,China
112,Yanshan University,China
113,Northeast Forestry University,China
114,Hangzhou Normal University,China
115,Xi'an University of Architecture and Technology,China
116,Hubei University,China
117,Kunming University of Science and Technology,China
118,Inner Mongolia University,China
119,Xi'an University of Technology,China
120,Wuhan University of Science and Technology,China
121,Jiangxi Normal University,China
122,Northeast Agricultural University,China
122,Southwest Petroleum University,China
124,Shanghai Normal University,China
125,Fujian Agriculture and Forestry University,China
126,Wenzhou University,China
127,Changsha University of Science and Technology,China
127,Xinjiang University,China
129,Hebei University,China
130,Shandong University of Science and Technology,China
131,Liaoning University,China
132,Chengdu University of Technology,China
133,Shandong Agricultural University,China
134,Ningxia University,China
135,Huaqiao University,China
135,Shaanxi University of Science and Technology,China
137,Tiangong University,China
138,Changchun University of Science and Technology,China
139,Anhui Normal University,China
140,Shihezi University,China
141,Sichuan Agricultural University,China
142,Tianjin Normal University,China
143,Shanghai Ocean University,China
144,Jiangsu University of Science and Technology,China
145,Qilu University of Technology,China
146,China Jiliang University,China
147,Heilongjiang University,China
148,Anhui Agricultural University,China
148,Hubei University of Technology,China
150,Zhejiang A&F University,China
151,Nantong University,China
152,Henan Agricultural University,China
153,Chongqing University of Posts and Telecommunications,China
154,Changzhou University,China
155,Guangxi Normal University,China
156,Hunan Agricultural University,China
157,Qufu Normal University,China
158,Jilin Agricultural University,China
159,Wuhan Textile University,China
160,Wuhan Institute of Technology,China
161,Henan Normal University,China
162,Tianjin University of Science and Technology,China
163,Liaoning Normal University,China
164,Jiangsu Normal University,China
165,Beijing University of Civil Engineering and Architecture,China
166,Shantou University,China
167,Jimei University,China
168,Qingdao University of Science and Technology,China
168,China Three Gorges University,China
168,Yanbian University,China
171,Shenyang Agricultural University,China
172,Henan University of Science and Technology,China
173,North University of China,China
174,University of Jinan,China
175,East China Jiaotong University,China
176,Shanghai Maritime University,China
177,Nanchang Hangkong University,China
178,Hebei Normal University,China
179,Northwest Normal University,China
180,Tianjin University of Technology,China
181,Hunan University of Science and Technology,China
182,University of International Relations,China
183,Shenyang Aerospace University,China
184,Henan Polytechnic University,China
185,Yangtze University,China
186,Shanghai University of Electric Power,China
187,University of South China,China
187,Shenyang University of Technology,China
189,Chongqing Jiaotong University,China
190,Anhui University of Technology,China
190,Jiangxi University of Science and Technology,China
192,Xi'an University of Science and Technology,China
193,Anhui University of Science and Technology,China
194,Shandong University of Technology,China
195,Tibet University,China
196,Jiangxi Agricultural University,China
197,Hebei Agricultural University,China
198,Qinghai University,China
199,Lanzhou University of Technology,China
200,Xi'an University of Posts and Telecommunications,China
201,Guilin University of Electronic Technology,China
201,Sichuan Normal University,China
203,Yunnan Normal University,China
204,Beijing Information Science & Technology University,China
205,Yantai University,China
