rank,university_name,country
1,Harvard University,United States
2,Stanford University,United States
3,Massachusetts Institute of Technology,United States
4,University of Cambridge,United Kingdom
5,"University of California, Berkeley",United States
6,University of Oxford,United Kingdom
7,Princeton University,United States
8,Columbia University,United States
9,California Institute of Technology,United States
10,University of Chicago,United States
11,Yale University,United States
12,Cornell University,United States
13,Paris-Saclay University,France
14,University College London,United Kingdom
14,University of Pennsylvania,United States
16,"University of California, Los Angeles",United States
17,University of Washington,United States
18,Tsinghua University,China
19,Johns Hopkins University,United States
20,"University of California, San Diego",United States
21,"University of California, San Francisco",United States
22,ETH Zurich,Switzerland
23,Peking University,China
24,Zhejiang University,China
25,University of Toronto,Canada
26,Imperial College London,United Kingdom
26,Washington University in St Louis,United States
28,New York University,United States
29,Rockefeller University,United States
30,Shanghai Jiao Tong University,China
31,Northwestern University,United States
31,The University of Tokyo,Japan
33,"University of Michigan, Ann Arbor",United States
34,PSL University,France
35,University of Copenhagen,Country_DK
36,"University of Wisconsin, Madison",United States
37,The University of Edinburgh,United Kingdom
38,The University of Melbourne,Australia
39,University of North Carolina at Chapel Hill,United States
40,University of Science and Technology of China,China
41,Fudan University,China
42,University of Munich,Germany
43,Sorbonne University,France
44,Swiss Federal Institute of Technology Lausanne,Switzerland
45,Technical University of Munich,Germany
46,Duke University,United States
46,Kyoto University,Japan
46,The University of Manchester,United Kingdom
49,The University of Texas at Austin,United States
50,Karolinska Institute,Country_SE
51,Heidelberg University,Germany
51,"University of Minnesota, Twin Cities",United States
53,University of British Columbia,Canada
53,"University of Illinois Urbana, Champaign",United States
55,"University of Maryland, College Park",United States
56,National University of Singapore,Country_SG
56,Utrecht University,Netherlands
58,University of Geneva,Switzerland
58,University of Texas Southwestern Medical Center,United States
60,Université Paris Cité,France
61,King's College London,United Kingdom
62,University of Colorado Boulder,United States
62,Vanderbilt University,United States
64,University of Zurich,Switzerland
65,Sun Yat-sen University,China
65,The University of Queensland,Australia
67,The University of Hong Kong,Country_HK
68,University of Bonn,Germany
68,University of Southern California,United States
70,"University of California, Santa Barbara",United States
71,Weizmann Institute of Science,Country_IL
72,University of Sydney,Australia
73,Huazhong University of Science and Technology,China
73,University of Groningen,Netherlands
75,Nanjing University,China
76,KU Leuven,Country_BE
76,McGill University,Canada
76,Monash University,Australia
79,"University of California, Irvine",United States
80,The University of New South Wales,Australia
81,Seoul National University,Country_KR
81,Wuhan University,China
83,"Ohio State University, Columbus",United States
83,University of Oslo,Country_NO
85,Aarhus University,Country_DK
86,The University of Texas MD Anderson Cancer Center,United States
87,Sichuan University,China
88,Nanyang Technological University,Country_SG
88,The Hebrew University of Jerusalem,Country_IL
88,University of Pittsburgh,United States
91,Ghent University,Country_BE
92,Xi'an Jiaotong University,China
93,Uppsala University,Country_SE
94,University of Basel,Switzerland
94,University of Helsinki,Country_FI
96,Central South University,China
97,Technion-Israel Institute of Technology,Country_IL
98,University of Bristol,United Kingdom
99,City University of Hong Kong,Country_HK
100,Stockholm University,Country_SE
101-594,Beihang University,China
101-400,Beijing Institute of Technology,China
101-141,Beijing Normal University,China
101-509,Boston University,United States
101-256,Brown University,United States
101-817,Carnegie Mellon University,United States
101-024,Emory University,United States
101-552,Erasmus University Rotterdam,Netherlands
101-218,Harbin Institute of Technology,China
101-724,Icahn School of Medicine at Mount Sinai,United States
101-753,"Indiana University, Bloomington",United States
101-889,Institute of Science Tokyo,Japan
101-820,Jilin University,China
101-342,King Saud University,Country_SA
101-034,Leiden University,Netherlands
101-163,Lund University,Country_SE
101-407,"Mayo Clinic College of Medicine and Science, Minnesota",United States
101-285,McMaster University,Canada
101-041,Moscow State University,Country_RU
101-791,Nagoya University,Japan
101-476,Northwestern Polytechnical University,China
101-176,"Pennsylvania State University, University Park",United States
101-165,"Purdue University, West Lafayette",United States
101-055,Radboud University Nijmegen,Netherlands
101-408,Rice University,United States
101-485,Sapienza University of Rome,Italy
101-156,Shandong University,China
101-387,Soochow University (China),China
101-993,South China University of Technology,China
101-722,Southeast University,China
101-468,Southern University of Science and Technology,China
101-073,The Australian National University,Australia
101-666,The Chinese University of Hong Kong,Country_HK
101-025,The University of Warwick,United Kingdom
101-342,The University of Western Australia,Australia
101-488,Tianjin University,China
101-281,Tongji University,China
101-987,Université libre de Bruxelles (ULB),Country_BE
101-107,University of Alberta,Canada
101-642,University of Amsterdam,Netherlands
101-493,"University of California, Davis",United States
101-853,University of Freiburg,Germany
101-722,University of Glasgow,United Kingdom
101-410,University of Lausanne,Switzerland
101-348,University of Liverpool,United Kingdom
101-774,University of Nottingham,United Kingdom
101-922,University of Sao Paulo,Country_BR
101-320,University of Strasbourg,France
101-461,University of Vienna,Country_AT
101-948,Xiamen University,China
151-180,Aix Marseille University,France
151-787,Arizona State University,United States
151-803,Case Western Reserve University,United States
151-662,China Agricultural University,China
151-874,Chongqing University,China
151-290,Dalian University of Technology,China
151-721,Delft University of Technology,Netherlands
151-104,Georgia Institute of Technology,United States
151-290,Goethe University Frankfurt,Germany
151-762,Hunan University,China
151-676,Michigan State University,United States
151-545,Nankai University,China
151-629,NTNU - Norwegian University of Science and Technology,Country_NO
151-713,Peking Union Medical College,China
151-298,"Rutgers, The State University of New Jersey - New Brunswick",United States
151-902,Sungkyunkwan University,Country_KR
151-440,Technical University of Denmark,Country_DK
151-679,The Hong Kong Polytechnic University,Country_HK
151-327,The London School of Economics and Political Science,United Kingdom
151-054,The University of Adelaide,Australia
151-105,The University of Calgary,Canada
151-240,The University of Sheffield,United Kingdom
151-688,Université Grenoble Alpes,France
151-782,University of Arizona,United States
151-296,University of Barcelona,Country_ES
151-848,University of Bern,Switzerland
151-935,University of Birmingham,United Kingdom
151-493,"University of California, Santa Cruz",United States
151-411,University of Cologne,Germany
151-642,University of Electronic Science and Technology of China,China
151-620,University of Exeter,United Kingdom
151-884,University of Florida,United States
151-982,University of Goettingen,Germany
151-752,University of Gothenburg,Country_SE
151-286,University of Leeds,United Kingdom
151-666,University of Mainz,Germany
151-550,University of Massachusetts Chan Medical School,United States
151-638,University of Milan,Italy
151-529,University of Montpellier,France
151-841,University of Montreal,Canada
151-102,University of Muenster,Germany
151-785,University of Padua,Italy
151-257,University of Southampton,United Kingdom
151-760,University of Tuebingen,Germany
151-802,University of Utah,United States
151-516,University of Waterloo,Canada
151-269,Vrije Universiteit Amsterdam,Netherlands
151-384,Wageningen University & Research,Netherlands
151-075,Yonsei University,Country_KR
151-356,Zhengzhou University,China
201-128,Baylor College of Medicine,United States
201-674,Beijing University of Chemical Technology,China
201-674,Beijing University of Technology,China
201-012,Capital Medical University,China
201-279,Cardiff University,United Kingdom
201-206,Catholic University of Louvain,Country_BE
201-670,China University of Geosciences,China
201-580,Claude Bernard University Lyon 1,France
201-373,Curtin University,Australia
201-179,Deakin University,Australia
201-942,Dresden University of Technology,Germany
201-555,Durham University,United Kingdom
201-982,East China Normal University,China
201-336,East China University of Science and Technology,China
201-318,George Mason University,United States
201-314,Hanyang University,Country_KR
201-792,Heinrich Heine University Duesseldorf,Germany
201-460,Hokkaido University,Japan
201-950,Huazhong Agricultural University,China
201-109,Institut polytechnique de Paris,France
201-535,Keio University,Japan
201-896,Kiel University,Germany
201-582,King Abdullah University of Science and Technology,Country_SA
201-985,Korea Advanced Institute of Science and Technology,Country_KR
201-927,Korea University,Country_KR
201-297,KTH Royal Institute of Technology,Country_SE
201-358,Kyushu University,Japan
201-496,Lanzhou University,China
201-522,London School of Hygiene & Tropical Medicine,United Kingdom
201-715,Macquarie University,Australia
201-838,Medical University of Vienna,Country_AT
201-326,Nanjing Agricultural University,China
201-488,Nanjing Medical University,China
201-567,Nanjing University of Aeronautics and Astronautics,China
201-567,Nanjing University of Science & Technology,China
201-221,National Autonomous University of Mexico,Country_MX
201-799,National Taiwan University,Country_TW
201-677,Newcastle University,United Kingdom
201-424,North Carolina State University at Raleigh,United States
201-038,Northeastern University (Boston),United States
201-038,Northeastern University (Shenyang),China
201-545,Northwest A&F University,China
201-432,Oregon Health & Science University,United States
201-327,Oregon State University,United States
201-337,Osaka University,Japan
201-532,Queen Mary University of London,United Kingdom
201-409,Queen's University,Canada
201-633,Ruhr University Bochum,Germany
201-425,RWTH Aachen University,Germany
201-604,Shanghai University,China
201-461,Shenzhen University,China
201-489,Southern Medical University,China
201-061,Swinburne University of Technology,Australia
201-440,Technical University of Berlin,Germany
201-783,Tel Aviv University,Country_IL
201-444,Texas A&M University,United States
201-870,The Hong Kong University of Science and Technology,Country_HK
201-259,The University of Auckland,Country_NZ
201-478,"The University of Tennessee, Knoxville",United States
201-478,The University of Texas Health Science Center at Houston,United States
201-924,Tohoku University,Japan
201-629,Trinity College Dublin,Country_IE
201-140,Tufts University,United States
201-305,University of Aberdeen,United Kingdom
201-368,University of Bergen,Country_NO
201-230,University of Bologna,Italy
201-543,University of Bordeaux,France
201-414,University of Buenos Aires,Country_AR
201-493,"University of California, Riverside",United States
201-437,University of Cape Town,Country_ZA
201-629,University of Colorado at Denver,United States
201-552,University of Connecticut,United States
201-477,University of Delaware,United States
201-300,University of Erlangen-Nuremberg,Germany
201-976,University of Hamburg,Germany
201-581,University of Houston,United States
201-723,University of Innsbruck,Country_AT
201-927,University of Leipzig,Germany
201-154,University of Lisbon,Country_PT
201-567,University of Lorraine,France
201-550,"University of Massachusetts, Amherst",United States
201-541,"University of Missouri, Columbia",United States
201-945,University of Naples Federico II,Italy
201-576,University of Ottawa,Canada
201-208,University of Pisa,Italy
201-503,University of Porto,Country_PT
201-531,University of Rochester,United States
201-967,University of Science and Technology Beijing,China
201-954,University of Sussex,United Kingdom
201-833,University of Technology Sydney,Australia
201-773,University of the Witwatersrand,Country_ZA
201-280,University of Tsukuba,Japan
201-055,University of Turin,Italy
201-185,University of Valencia,Country_ES
201-515,University of Virginia,United States
201-740,University of Wuerzburg,Germany
