,citing author name,citing paper title,cited paper title,affiliation,latitude,longitude,county,city,state,country,author_id,citation,google_scholar_link
0,Xiangtai Li,On path to multimodal generalist: General-level and general-bench,Muirbench: A comprehensive benchmark for robust multi-image understanding,Peking Univerisity,39.9602269,116.3519331,,Haidian District,Beijing,China,FL3ReD0AAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=FL3ReD0AAAAJ&hl=en
1,Qin Liu,Sudolm: Learning access control of parametric knowledge with authorization alignment,Monotonic paraphrasing improves generalization of language model prompting,UC Davis,38.5337904,-121.7907544,Solano County,,California,United States,dApKnRkAAAAJ,"Findings of the Association for Computational Linguistics: EMNLP 2024, 9861–9877, 2024",https://scholar.google.com/citations?user=dApKnRkAAAAJ&hl=en
2,Sean (Xiang) Ren,Rethinking backdoor detection evaluation for language models,From shortcuts to triggers: Backdoor defense with denoised poe,"Viterbi Early Career Chair & Associate Professor, University of Southern California",37.3974949,-122.0842646,Santa Clara County,Mountain View,California,United States,_moJlrIAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=_moJlrIAAAAJ&hl=en
3,Ziyu Guo,"Mme-cot: Benchmarking chain-of-thought in large multimodal models for reasoning quality, robustness, and efficiency",Muirbench: A comprehensive benchmark for robust multi-image understanding,The Chinese University of Hong Kong,22.4201838,114.2079145,,Sha Tin District,Hong Kong,China,S9GLetwAAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=S9GLetwAAAAJ&hl=en
4,Sheng Zhang,mdpo: Conditional preference optimization for multimodal large language models,Muirbench: A comprehensive benchmark for robust multi-image understanding,Microsoft Research,52.1949515,0.1350108,Cambridgeshire,Cambridge,England,United Kingdom,-LVEXQ8AAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=-LVEXQ8AAAAJ&hl=en
5,Xiaobao Wu,Unlearning backdoor attacks for llms with weak-to-strong knowledge distillation,Test-time backdoor mitigation for black-box large language models with defensive demonstrations,"Research Scientist, Nanyang Technological University",37.3555833,-121.931328,Santa Clara County,San Jose,California,United States,Y1oag4sAAAAJ,"arXiv preprint arXiv:2311.09763, 2023",https://scholar.google.com/citations?user=Y1oag4sAAAAJ&hl=en
6,Yi-Fan Zhang,Mme-survey: A comprehensive survey on evaluation of multimodal llms,Muirbench: A comprehensive benchmark for robust multi-image understanding,Institute of Automation,54.1720834,12.0790983,,Rostock,Mecklenburg-Vorpommern,Germany,lUnt8X4AAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=lUnt8X4AAAAJ&hl=en
7,Junfeng Tian,Sentiment-aware multimodal pre-training for multimodal sentiment analysis,Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,"Xiaohongshu Inc, nyonic.ai, Alibaba Group",41.8697203,-87.6704716,Cook County,Chicago,Illinois,United States,hUMfP1UAAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=hUMfP1UAAAAJ&hl=en
8,Jun Yan,Rethinking backdoor detection evaluation for language models,From shortcuts to triggers: Backdoor defense with denoised poe,Google,42.35092,-71.0783603,Suffolk County,Boston,Massachusetts,United States,rhNj2RcAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=rhNj2RcAAAAJ&hl=en
9,Tenghao Huang,Familiarity-Aware Evidence Compression for Retrieval-Augmented Generation,Monotonic paraphrasing improves generalization of language model prompting,University of Southern California,34.0218689,-118.2858579,Los Angeles County,Los Angeles,California,United States,cZKQGyQAAAAJ,"Findings of the Association for Computational Linguistics: EMNLP 2024, 9861–9877, 2024",https://scholar.google.com/citations?user=cZKQGyQAAAAJ&hl=en
10,Chen Zhu,Odin: Disentangled reward mitigates hacking in rlhf,Secrets of rlhf in large language models part i: Ppo,xAI,20.6930134,101.9853678,Xay District,Muang Xay,Oudomxay,Laos,m-om5O8AAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=m-om5O8AAAAJ&hl=en
11,Miao Yu,"A comprehensive survey in llm (-agent) full stack safety: Data, training and deployment",Securing Multi-turn Conversational Language Models From Distributed Backdoor Attacks,Undergraduates,22.8057314,113.9647329,,Guangming District,Guangdong Province,China,ajhKD2MAAAAJ,"Findings of the Association for Computational Linguistics: EMNLP 2024, 12833 …, 2024",https://scholar.google.com/citations?user=ajhKD2MAAAAJ&hl=en
12,Bram Wallace,Diffusion model alignment using direct preference optimization,Secrets of rlhf in large language models part i: Ppo,"Researcher, OpenAI",57.015907,9.9753082,,Aalborg,North Denmark Region,Denmark,bI-VIDcAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=bI-VIDcAAAAJ&hl=en
13,Sukannya Purkayastha,LazyReview A Dataset for Uncovering Lazy Thinking in NLP Peer Reviews,Llms assist nlp researchers: Critique paper (meta-) reviewing,Technische Universität Darmstadt,49.8611517,8.681944,,Darmstadt,Hesse,Germany,SAhTZJIAAAAJ,"Proceedings of the 2024 Conference on Empirical Methods in Natural Language …, 2024",https://scholar.google.com/citations?user=SAhTZJIAAAAJ&hl=en
14,Shuai Zhao,Unlearning backdoor attacks for llms with weak-to-strong knowledge distillation,From shortcuts to triggers: Backdoor defense with denoised poe,Postdoctoral,49.2682937,-123.2576935,Metro Vancouver Regional District,Electoral Area A,British Columbia,Canada,upbsFBAAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=upbsFBAAAAAJ&hl=en
15,Wenke Huang (黄文柯),"A survey of safety on large vision-language models: Attacks, defenses and evaluations",Unraveling and mitigating safety alignment degradation of vision-language models,"School of Computer Science, Wuhan University",-20.2790262,57.4902447,,,Plaines Wilhems,Mauritius,aFoCI3MAAAAJ,"arXiv preprint arXiv:2410.09047, 2024",https://scholar.google.com/citations?user=aFoCI3MAAAAJ&hl=en
16,Zian Jia,Metascientist: A human-ai synergistic framework for automated mechanical metamaterial design,Llms assist nlp researchers: Critique paper (meta-) reviewing,VT,44.5990718,-72.5002608,Lamoille County,,Vermont,United States,KK7DX-QAAAAJ,"Proceedings of the 2024 Conference on Empirical Methods in Natural Language …, 2024",https://scholar.google.com/citations?user=KK7DX-QAAAAJ&hl=en
17,Lin Gui,Bonbon alignment for large language models and the sweetness of best-of-n sampling,Secrets of rlhf in large language models part i: Ppo,The University of Chicago,41.7913968,-87.6008439,Cook County,Chicago,Illinois,United States,88eaL8UAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=88eaL8UAAAAJ&hl=en
18,Tianlin Li,Defending LVLMs Against Vision Attacks through Partial-Perception Supervision,Unraveling and mitigating safety alignment degradation of vision-language models,Nanyang Technological University,1.3484104,103.6829332,,Singapore,,Singapore,XB6CydwAAAAJ,"arXiv preprint arXiv:2410.09047, 2024",https://scholar.google.com/citations?user=XB6CydwAAAAJ&hl=en
19,Ping He,"Navigating the risks: A survey of security, privacy, and ethics threats in llm-based agents",From shortcuts to triggers: Backdoor defense with denoised poe,"Zhejiang University, University College London",52.1949515,0.1350108,Cambridgeshire,Cambridge,England,United Kingdom,yXfYUEEAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=yXfYUEEAAAAJ&hl=en
20,Zhongliang Zhou,Mind Control through Causal Inference: Predicting Clean Images from Poisoned Data,From shortcuts to triggers: Backdoor defense with denoised poe,Merck & Co.,35.332532,-80.7654684,Mecklenburg County,Charlotte,North Carolina,United States,Lq_tHEsAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=Lq_tHEsAAAAJ&hl=en
21,Yushi Hu,Blink: Multimodal large language models can see but not perceive,Muirbench: A comprehensive benchmark for robust multi-image understanding,University of Washington,47.6554303,-122.3001692,King County,Seattle,Washington,United States,mXN51X0AAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=mXN51X0AAAAJ&hl=en
22,Miao Yu,"A comprehensive survey in llm (-agent) full stack safety: Data, training and deployment",Securing Multi-turn Conversational Language Models From Distributed Backdoor Attacks,Technology of China,31.8403891,117.2501941,,Shushan District,Anhui,China,ajhKD2MAAAAJ,"Findings of the Association for Computational Linguistics: EMNLP 2024, 12833 …, 2024",https://scholar.google.com/citations?user=ajhKD2MAAAAJ&hl=en
23,Philipp Dufter,"Mm1. 5: Methods, analysis & insights from multimodal llm fine-tuning",Muirbench: A comprehensive benchmark for robust multi-image understanding,Apple,12.9822892,77.5962827,Bangalore North,Bengaluru,Karnataka,India,1Inet5oAAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=1Inet5oAAAAJ&hl=en
24,Yao Huang,Understanding Pre-training and Fine-tuning from Loss Landscape Perspectives,Unraveling and mitigating safety alignment degradation of vision-language models,Institute of Artificial Intelligence,51.1091158,17.0620309,,Wrocław,Lower Silesian Voivodeship,Poland,-_jMcVcAAAAJ,"arXiv preprint arXiv:2410.09047, 2024",https://scholar.google.com/citations?user=-_jMcVcAAAAJ&hl=en
25,Muhao Chen,Sudolm: Learning access control of parametric knowledge with authorization alignment,Familiarity-aware evidence compression for retrieval augmented generation,University of California,37.8754996,-122.2390685,Alameda County,Berkeley,California,United States,k79yEZkAAAAJ,"arXiv preprint arXiv:2409.12468, 2024",https://scholar.google.com/citations?user=k79yEZkAAAAJ&hl=en
26,Katherine Tian,Fine-tuning language models for factuality,Secrets of rlhf in large language models part i: Ppo,Harvard University,42.3657432,-71.1222139,Suffolk County,Boston,Massachusetts,United States,39pufYoAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=39pufYoAAAAJ&hl=en
27,Alireza Bayat Makou,LLM-based rewriting of inappropriate argumentation using reinforcement learning from machine feedback,Secrets of rlhf in large language models part i: Ppo,Technical University of Darmstadt,41.7913968,-87.6008439,Cook County,Chicago,Illinois,United States,Q9rvc9cAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=Q9rvc9cAAAAJ&hl=en
28,Kawin Ethayarajh,Dynaboard: An evaluation-as-a-service platform for holistic next-generation benchmarking,Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,Stanford University,37.4313138,-122.1693654,Santa Clara County,,California,United States,7SUV6rQAAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=7SUV6rQAAAAJ&hl=en
29,Davit Soselia,Odin: Disentangled reward mitigates hacking in rlhf,Secrets of rlhf in large language models part i: Ppo,"University of Maryland, College Park",38.9784587,-76.9282678,Prince George's County,College Park,Maryland,United States,rHit2vIAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=rHit2vIAAAAJ&hl=en
30,Dan Roth,Blink: Multimodal large language models can see but not perceive,Muirbench: A comprehensive benchmark for robust multi-image understanding,"Professor of Computer Science, University of Pennsylvania",1.296168,103.8500437,,Singapore,,Singapore,E-bpPWgAAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=E-bpPWgAAAAJ&hl=en
31,Brian Formento,Semrode: Macro adversarial training to learn representations that are robust to word-level attacks,Flooding-X: Improving BERT’s resistance to adversarial attacks via loss-restricted fine-tuning,NUS,45.7411525,7.4693953,,,Aosta Valley,Italy,iBPtOTQAAAAJ,"Proceedings of the 60th Annual Meeting of the Association for Computational …, 2022",https://scholar.google.com/citations?user=iBPtOTQAAAAJ&hl=en
32,Wenjie Jacky Mo,Mitigating backdoor threats to large language models: Advancement and challenges,Test-time backdoor mitigation for black-box large language models with defensive demonstrations,"University of California, Davis",38.5337904,-121.7907544,Solano County,,California,United States,7hvu1ZQAAAAJ,"arXiv preprint arXiv:2311.09763, 2023",https://scholar.google.com/citations?user=7hvu1ZQAAAAJ&hl=en
33,Zhuoma Gongque,Demonsf: A multi-task demonstration-based generative framework for noisy slot filling task,Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,Telecommunications,-30.405844,27.7075546,,,Quthing District,Lesotho,V9H_Qx8AAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=V9H_Qx8AAAAJ&hl=en
34,Yufei Huang,Large language model alignment: A survey,Secrets of rlhf in large language models part i: Ppo,Tianjin University,39.1072533,117.1778978,,Heping District,Tianjin,China,2uzwJV0AAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=2uzwJV0AAAAJ&hl=en
35,"Lichao ""James"" Sun",Position: Trustllm: Trustworthiness in large language models,Test-time backdoor mitigation for black-box large language models with defensive demonstrations,Lehigh University,40.6068028,-75.3782488,Northampton County,Bethlehem,Pennsylvania,United States,WhGUE7AAAAAJ,"arXiv preprint arXiv:2311.09763, 2023",https://scholar.google.com/citations?user=WhGUE7AAAAAJ&hl=en
36,Lawrence Keunho Jang,Visualwebarena: Evaluating multimodal agents on realistic visual web tasks,The rise and potential of large language model based agents: A survey,Meta | Carnegie Mellon University,41.8755616,-87.6244212,Cook County,Chicago,Illinois,United States,HqC4vl8AAAAJ,"Science China Information Sciences 68 (2), 121101, 2025",https://scholar.google.com/citations?user=HqC4vl8AAAAJ&hl=en
37,Usman Naseem,Benchmarking large language models for cryptanalysis and mismatched-generalization,Two heads are better than one: Nested poe for robust defense against multi-backdoors,Lecturer (Asst. Prof.) @Macquarie University,44.5990718,-72.5002608,Lamoille County,,Vermont,United States,61Ou1P8AAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=61Ou1P8AAAAJ&hl=en
38,Quanfeng Lu,Mmiu: Multimodal multi-image understanding for evaluating large vision-language models,Muirbench: A comprehensive benchmark for robust multi-image understanding,Shanghai Jiao Tong University,31.2008911,121.4283949,,Xuhui District,,China,NlBS3nMAAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=NlBS3nMAAAAJ&hl=en
39,Preethi P PESU RR CSE Staff,Enhancing Out of Vocabulary (OOV) Token representation with Aggregated Conditional Random Fields model for Kannada NER,Learning to generate representations for novel words: Mimic the OOV situation in training,PES University,12.9342358,77.5343239,Bangalore South,Bengaluru,Karnataka,India,KqzXVaEAAAAJ,"Natural Language Processing and Chinese Computing: 9th CCF International …, 2020",https://scholar.google.com/citations?user=KqzXVaEAAAAJ&hl=en
40,Yu Qi,"Mme-cot: Benchmarking chain-of-thought in large multimodal models for reasoning quality, robustness, and efficiency",Muirbench: A comprehensive benchmark for robust multi-image understanding,Northeastern University,42.3351052,-71.0892579,Suffolk County,Boston,Massachusetts,United States,UZSbtlsAAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=UZSbtlsAAAAJ&hl=en
41,Terry Tong,Mitigating backdoor threats to large language models: Advancement and challenges,Two heads are better than one: Nested poe for robust defense against multi-backdoors,"Undergrad Researcher, UC Davis",40.190632,116.412144,,Changping District,Beijing,China,UE4CnZcAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=UE4CnZcAAAAJ&hl=en
42,Joshua Harris,Challenges and applications of large language models,Secrets of rlhf in large language models part i: Ppo,UK Health Security Agency,51.1299406,-1.7094617,Wiltshire,,England,United Kingdom,iYy1nfkAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=iYy1nfkAAAAJ&hl=en
43,Lidong Bing,Iam: A comprehensive and large-scale dataset for integrated argument mining tasks,Overview of argumentative text understanding for ai debater challenge,CUHK,22.4201838,114.2079145,,Sha Tin District,Hong Kong,China,_oYzrzAAAAAJ,"Natural Language Processing and Chinese Computing: 10th CCF International …, 2021",https://scholar.google.com/citations?user=_oYzrzAAAAAJ&hl=en
44,Rui Wang,Sentiment-aware multimodal pre-training for multimodal sentiment analysis,Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,University of Massachusetts Amherst,42.3868955,-72.5299842,Hampshire County,,Massachusetts,United States,MvEiaLgAAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=MvEiaLgAAAAJ&hl=en
45,Nora Belrose,"Mechanistic Anomaly Detection for"" Quirky"" Language Models",Test-time backdoor mitigation for black-box large language models with defensive demonstrations,Research Lead,44.3474397,-103.7548247,Lawrence County,,South Dakota,United States,p_oBc64AAAAJ,"arXiv preprint arXiv:2311.09763, 2023",https://scholar.google.com/citations?user=p_oBc64AAAAJ&hl=en
46,Chen Ding,Nbias: A natural language processing framework for BIAS identification in text,Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,Toronto Metropolitan University,43.6585342,-79.3784674,,Toronto,Ontario,Canada,_4W5qzQAAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=_4W5qzQAAAAJ&hl=en
47,Ellie Pavlick,How Do Vision-Language Models Process Conflicting Information Across Modalities?,Unraveling cross-modality knowledge conflicts in large vision-language models,Brown University,41.8186395,-71.4088009,Providence County,Providence,Rhode Island,United States,sFyrSa8AAAAJ,"arXiv preprint arXiv:2410.03659, 2024",https://scholar.google.com/citations?user=sFyrSa8AAAAJ&hl=en
48,Zhenyu Liu,Improving attributed text generation of large language models via preference learning,Secrets of rlhf in large language models part i: Ppo,Shenzhen,22.5445741,114.0545429,,Futian District,Guangdong Province,China,UOgn85MAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=UOgn85MAAAAJ&hl=en
49,Zhanming (Allan) Jie,Reft: Reasoning with reinforced fine-tuning,Secrets of rlhf in large language models part i: Ppo,ByteDance Seed,41.6567749,41.6398829,,Batumi,Autonomous Republic of Adjara,Georgia,u68TA6oAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=u68TA6oAAAAJ&hl=en
50,Shuai Zhao,A survey of recent backdoor attacks and defenses in large language models,From shortcuts to triggers: Backdoor defense with denoised poe,Postdoctoral,49.2682937,-123.2576935,Metro Vancouver Regional District,Electoral Area A,British Columbia,Canada,upbsFBAAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=upbsFBAAAAAJ&hl=en
51,Zhe Chen,"Expanding performance boundaries of open-source multimodal models with model, data, and test-time scaling",Muirbench: A comprehensive benchmark for robust multi-image understanding,Nanjing University,32.0565957,118.7740883,,Gulou District,Jiangsu,China,j1rq_lYAAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=j1rq_lYAAAAJ&hl=en
52,Minjun Zhu,Deepreview: Improving llm-based paper review with human-like deep thinking process,Llms assist nlp researchers: Critique paper (meta-) reviewing,CASIA,43.1566555,-6.9274217,,,Asturias,Spain,cm2ub2kAAAAJ,"Proceedings of the 2024 Conference on Empirical Methods in Natural Language …, 2024",https://scholar.google.com/citations?user=cm2ub2kAAAAJ&hl=en
53,Yupeng Chang,A survey on evaluation of large language models,Muirbench: A comprehensive benchmark for robust multi-image understanding,Jilin University,43.880146,125.301151,,Changchun City,Jilin,China,Hw-lrpAAAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=Hw-lrpAAAAAJ&hl=en
54,Jiacheng Ruan,Reviewagents: Bridging the gap between human and ai-generated paper reviews,Llms assist nlp researchers: Critique paper (meta-) reviewing,Shanghai Jiao Tong University,31.2008911,121.4283949,,Xuhui District,,China,sEzpwaAAAAAJ,"Proceedings of the 2024 Conference on Empirical Methods in Natural Language …, 2024",https://scholar.google.com/citations?user=sEzpwaAAAAAJ&hl=en
55,Bo Li,Beear: Embedding-based adversarial removal of safety backdoors in instruction-tuned language models,From shortcuts to triggers: Backdoor defense with denoised poe,Urbana–Champaign,40.1117174,-88.207301,Champaign County,Urbana,Illinois,United States,K8vJkTcAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=K8vJkTcAAAAJ&hl=en
56,Zhengzhong Tu,Unraveling cross-modality knowledge conflicts in large vision-language models,Muirbench: A comprehensive benchmark for robust multi-image understanding,Google Research,31.3011648,121.4980876,,Yangpu District,,China,9ajdZaEAAAAJ,"arXiv preprint arXiv:2406.09411, 2024",https://scholar.google.com/citations?user=9ajdZaEAAAAJ&hl=en
57,Florian Wenzel,Benchmarking robustness of multimodal image-text models under distribution shift,Textflint: Unified multilingual robustness evaluation toolkit for natural language processing,Mirelo AI,38.4305296,27.136965,,İzmir,,Turkey,6TmK--IAAAAJ,"Proceedings of the 59th Annual Meeting of the Association for Computational …, 2021",https://scholar.google.com/citations?user=6TmK--IAAAAJ&hl=en
58,Yanhao Jia,Unlearning backdoor attacks for llms with weak-to-strong knowledge distillation,From shortcuts to triggers: Backdoor defense with denoised poe,Nanyang Technological University,1.3484104,103.6829332,,Singapore,,Singapore,jQx7NpQAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=jQx7NpQAAAAJ&hl=en
59,Sishuo Chen,BadActs: A universal backdoor defense in the activation space,From shortcuts to triggers: Backdoor defense with denoised poe,Alibaba Group,30.1918037,120.185449,,Binjiang District,Zhejiang,China,Jn6gAIAAAAAJ,"Proceedings of the 2024 Conference of the North American Chapter of the …, 2024",https://scholar.google.com/citations?user=Jn6gAIAAAAAJ&hl=en
60,Yafu Li,Siren's song in the AI ocean: a survey on hallucination in large language models,Secrets of rlhf in large language models part i: Ppo,Shanghai AI Lab,42.35092,-71.0783603,Suffolk County,Boston,Massachusetts,United States,gEceD-sAAAAJ,"arXiv preprint arXiv:2307.04964, 2023",https://scholar.google.com/citations?user=gEceD-sAAAAJ&hl=en
